,nome,endereco,email,idade,renda
0,Rafaela Rezende,"Avenida de Ribeiro
Santa Helena
14342136 Caldeira das Pedras / SP",mouraheitor@example.org,46,15594.52
1,Srta. Beatriz das Neves,"Loteamento de Fogaça, 61
Vila Novo São Lucas
11233-022 Monteiro / SC",luiz-otaviocorreia@example.org,24,16478.26
2,Ana Clara das Neves,"Favela Pinto, 97
São José
60325-119 Rodrigues / MS",isisalmeida@example.org,28,13729.48
3,Olivia Silva,"Vereda de Duarte, 12
Vila Satélite
91893-339 Souza / RN",lpeixoto@example.org,23,18478.46
4,Alexia Martins,"Conjunto João Pedro Caldeira, 888
Sion
81988-738 Azevedo da Mata / MA",carvalhoana-beatriz@example.com,54,9988.47
5,Lorena Almeida,"Morro Luiz Gustavo Castro, 61
Liberdade
02189859 Pereira / PI",mdas-neves@example.com,66,2224.67
6,Julia Freitas,"Praça da Rocha, 1
Lagoa
62680705 Novaes Grande / SE",duartediogo@example.org,63,2451.84
7,Thiago Novaes,"Alameda Barros
Corumbiara
80756243 Farias / PR",da-cunhamaite@example.net,46,16897.84
8,Maria Sophia Pires,"Rua de Araújo, 38
Ernesto Nascimento
26791-066 Mendes de Ramos / AL",rda-cunha@example.org,28,7059.64
9,Emilly Carvalho,"Condomínio de da Luz
Vila Maloca
57271760 Costa / MS",maria-eduardafreitas@example.org,63,11843.88
10,Rodrigo Melo,"Viaduto de da Luz, 84
Vila Suzana Primeira Seção
08119-222 Moreira / TO",kviana@example.net,29,2777.63
11,Sr. Caio Gonçalves,"Via Gonçalves, 11
Vila Antena Montanhês
38463-967 Rezende / PA",laurada-conceicao@example.com,22,2869.68
12,Sr. Francisco Ramos,"Viela Theo da Cunha, 568
Vila Nova Gameleira 2ª Seção
46099952 Cavalcanti de Dias / RJ",manuela34@example.net,19,14668.3
13,Joaquim Duarte,"Lagoa Bryan da Paz
Vista Alegre
46158633 Gonçalves / CE",lribeiro@example.org,65,14678.66
14,Pedro Henrique Barbosa,"Colônia de Silva, 976
Jardim América
61790240 Souza Verde / AC",kevinsilveira@example.org,49,3319.36
15,Benjamin Ferreira,"Recanto Barros, 29
Vila Califórnia
11299604 Moura dos Dourados / PA",franciscoda-costa@example.net,61,7437.54
16,Guilherme Ramos,"Campo de da Costa, 42
Lindéia
96756-770 Araújo / PA",da-motamaria-eduarda@example.net,35,17619.5
17,Agatha Campos,"Colônia Almeida, 74
Conjunto São Francisco De Assis
52650-784 Barros de Viana / AC",alana24@example.net,38,2788.1
18,Luiz Otávio Costela,"Residencial Carvalho
Minaslandia
03572254 Silva / MT",joao47@example.org,59,10912.43
19,Sra. Ana Laura Rocha,"Lagoa Campos, 91
São Salvador
05232087 Gonçalves do Amparo / PE",msales@example.com,21,18520.52
20,Maria Clara Gomes,"Fazenda de Lima, 82
Vila Ecológica
15017-971 Gomes da Mata / SC",muriloaraujo@example.net,62,2509.91
21,Giovanna Nunes,"Núcleo Azevedo
Cidade Jardim
60313004 Carvalho / MA",eduarda59@example.org,46,13317.78
22,Juliana Peixoto,"Via da Rocha, 13
Ambrosina
63341554 Carvalho do Amparo / AL",pedro98@example.org,59,7303.23
23,Luna Melo,"Sítio Alícia Jesus, 96
Vila Calafate
36341-504 Novaes / AP",bianca90@example.com,59,18410.2
24,Rafael Lopes,"Vila Araújo, 697
Leonina
98149-332 Teixeira / AP",ljesus@example.com,62,8531.25
25,Sabrina Cunha,"Via de Moraes, 525
Itapoa
28308-150 Sales / MA",oliveiraheitor@example.net,27,15535.09
26,Sra. Rebeca da Mota,"Passarela Freitas, 31
Alípio De Melo
17520062 Cardoso de Rodrigues / MG",pedro-henrique56@example.org,57,4528.82
27,Srta. Sophie Silveira,"Favela Correia, 51
Urca
10801-389 Souza / BA",luiz-fernandojesus@example.com,69,10471.8
